gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,player,team
148,191,120,70,29,3,16,107,24,1,175,2,0.299,585,0.325,0.441,0.766,0.0,1.0986122886681098,1.0,22,2128,619,258,84,268,0.0,8,0.338,1.59,0,36.56,Yainer Diaz,Houston Astros
153,153,171,94,31,0,20,119,47,2,185,7,0.295,628,0.35,0.439,0.789,2.0794415416798357,3.1354942159291497,0.759,15,2454,682,276,65,193,0.0,0,0.337,0.89,0,31.4,Jose Altuve,Houston Astros
132,72,139,74,27,6,21,160,63,3,145,6,0.283,512,0.366,0.482,0.848,1.9459101490553132,2.833213344056216,0.727,6,2509,585,247,73,220,0.0,4,0.37,0.52,0,24.38,Seiya Suzuki,Chicago Cubs
140,150,124,58,25,1,18,86,27,2,141,0,0.282,500,0.318,0.444,0.762,1.791759469228055,3.1354942159291497,0.815,12,1883,528,222,70,197,0.0,1,0.31,1.21,0,27.78,Luis García Jr.,Washington Nationals
155,175,117,99,37,2,23,139,78,5,167,3,0.281,595,0.365,0.466,0.831,1.0986122886681098,2.302585092994046,0.818,19,2677,679,277,92,224,0.0,3,0.33,1.5,0,25.87,William Contreras,Milwaukee Brewers
133,117,157,72,22,2,18,101,29,1,143,6,0.279,513,0.322,0.435,0.757,0.6931471805599453,2.0794415416798357,0.875,16,2083,553,223,75,220,0.0,5,0.313,0.75,0,28.5,Lourdes Gurriel Jr.,Arizona Diamondbacks
153,163,185,65,34,3,14,81,47,0,163,13,0.278,587,0.342,0.417,0.759,1.791759469228055,1.791759469228055,0.5,4,2487,652,245,73,228,0.0,5,0.3,0.88,0,41.93,Brendan Donovan,St. Louis Cardinals
156,158,140,73,29,3,24,156,57,3,171,10,0.275,622,0.344,0.447,0.791,1.0986122886681098,2.3978952727983707,0.833,7,2604,692,278,88,231,0.0,3,0.33,1.13,0,25.92,Bryan Reynolds,Pittsburgh Pirates
148,141,124,80,29,4,21,121,39,4,145,3,0.275,528,0.327,0.464,0.791,2.0794415416798357,3.1354942159291497,0.759,7,2103,573,245,79,200,0.6931471805599453,2,0.32,1.14,0,25.14,Jackson Chourio,Milwaukee Brewers
152,130,195,107,39,1,33,127,56,0,169,12,0.273,618,0.344,0.5,0.844,1.6094379124341003,3.4011973816621555,0.879,7,2713,689,309,91,223,0.0,3,0.295,0.67,0,18.73,Francisco Lindor,New York Mets
143,129,129,76,17,0,20,156,38,1,155,6,0.273,567,0.325,0.409,0.734,1.791759469228055,3.2188758248682006,0.828,10,2385,613,232,68,228,0.0,2,0.344,1.0,0,28.35,Julio Rodríguez,Seattle Mariners
124,120,117,54,30,2,13,114,27,0,128,1,0.271,473,0.308,0.425,0.733,0.0,1.3862943611198906,1.0,13,1901,507,201,63,199,0.0,6,0.327,1.03,0,36.38,Ryan Mountcastle,Baltimore Orioles
140,128,108,62,16,1,16,125,71,1,129,4,0.265,486,0.361,0.401,0.762,0.0,1.0986122886681098,1.0,9,2356,565,195,69,198,0.0,4,0.324,1.19,0,30.38,Nathaniel Lowe,Texas Rangers
145,136,212,79,30,2,26,86,44,1,151,5,0.26,581,0.315,0.453,0.768,0.6931471805599453,1.3862943611198906,0.75,13,2393,634,263,75,269,0.0,4,0.264,0.64,0,22.35,Alex Bregman,Houston Astros
148,130,144,54,15,4,13,110,36,2,134,2,0.26,516,0.309,0.38,0.689,0.6931471805599453,2.0794415416798357,0.875,4,2022,556,196,61,193,0.0,2,0.306,0.9,0,39.69,Colt Keith,Detroit Tigers
146,125,99,72,34,3,21,181,51,5,140,3,0.259,541,0.324,0.449,0.773,0.6931471805599453,3.1354942159291497,0.957,8,2381,599,243,76,268,0.0,4,0.347,1.26,0,25.76,Oneil Cruz,Pittsburgh Pirates
138,124,100,69,26,1,19,117,48,2,118,8,0.258,457,0.338,0.444,0.782,0.0,0.6931471805599453,1.0,9,1947,515,203,66,172,0.0,2,0.307,1.24,0,24.05,Tyler Stephenson,Cincinnati Reds
149,116,156,67,30,1,13,121,46,1,135,18,0.258,523,0.337,0.394,0.731,1.0986122886681098,2.4849066497880004,0.846,6,2327,592,206,62,189,1.0986122886681098,3,0.311,0.74,0,40.23,Josh Smith,Texas Rangers
154,131,179,80,26,0,15,136,65,0,151,3,0.257,587,0.33,0.378,0.708,1.3862943611198906,1.6094379124341003,0.571,6,2821,665,222,63,222,1.0986122886681098,8,0.306,0.73,0,39.13,Gleyber Torres,New York Yankees
144,123,146,80,28,5,16,121,41,1,133,3,0.257,518,0.312,0.423,0.735,0.6931471805599453,1.9459101490553132,0.857,9,2312,567,219,57,200,0.0,5,0.303,0.84,0,32.38,Matt Vierling,Detroit Tigers
147,143,125,74,21,4,24,152,53,5,144,4,0.256,562,0.324,0.436,0.76,2.3978952727983707,3.713572066704308,0.8,6,2495,621,245,73,242,0.0,2,0.309,1.14,0,23.42,Jazz Chisholm Jr.,New York Yankees
158,101,159,90,28,2,30,176,49,0,146,9,0.256,571,0.319,0.469,0.788,0.6931471805599453,1.0986122886681098,0.667,10,2542,640,268,101,266,0.0,11,0.309,0.64,0,19.03,Eugenio Suárez,Arizona Diamondbacks
162,141,174,80,30,4,23,139,41,2,154,10,0.254,606,0.311,0.431,0.742,1.0986122886681098,1.9459101490553132,0.75,14,2344,659,261,86,262,0.0,2,0.294,0.81,0,26.35,Nick Castellanos,Philadelphia Phillies
145,114,106,63,23,0,14,106,63,2,109,10,0.253,430,0.36,0.405,0.765,1.6094379124341003,2.70805020110221,0.778,12,2063,508,174,58,169,1.0986122886681098,3,0.304,1.08,0,30.71,Jesse Winker,New York Mets
134,110,151,74,25,4,16,115,51,3,126,4,0.253,499,0.325,0.415,0.74,1.3862943611198906,2.995732273553991,0.864,6,2256,557,207,74,220,0.0,3,0.296,0.73,0,31.19,Wyatt Langford,Texas Rangers
149,133,95,60,25,1,18,140,41,2,123,4,0.252,489,0.313,0.417,0.73,1.0986122886681098,2.833213344056216,0.889,12,1991,537,204,64,226,0.6931471805599453,2,0.315,1.4,0,27.17,Jesús Sánchez,Miami Marlins
161,102,185,93,33,0,32,173,74,3,153,1,0.251,610,0.331,0.462,0.793,1.6094379124341003,3.091042453358316,0.84,12,2733,688,282,112,285,0.0,3,0.297,0.55,0,19.06,Willy Adames,Milwaukee Brewers
130,94,140,72,26,0,26,133,55,4,120,10,0.251,479,0.335,0.468,0.803,1.0986122886681098,1.0986122886681098,0.5,12,2315,552,224,84,230,0.0,8,0.287,0.67,0,18.42,Christian Walker,Arizona Diamondbacks
